,0
872,promise
873,friend
874,russia
875,contain
876,gathering
877,bad
878,multiple
879,shot
880,possible
881,write
882,intensive
883,check
884,emergency
885,international
886,house
887,little
888,six
889,association
890,elderly
891,heart
892,additional
893,rail
894,case
895,original
896,advice
897,staff
898,tell
899,diagnose
900,wake
901,recommend
902,news
903,battle
904,military
905,pandemic
906,time
907,handle
908,region
909,vaccination
910,lie
911,board
912,sample
913,great
914,tally
915,series
916,work
917,similar
918,full
919,boom
920,visitor
921,hit
922,beyond
923,farmer
924,hour
925,take
926,vietnam
927,johnson
928,single
929,xinjiang
930,taiwan
931,several
932,group
933,major
934,film
935,mask
936,art
937,ever
938,late
939,inoculation
940,remain
941,australia
942,republic
943,movie
944,ward
945,eye
946,surge
947,financial
948,total
949,official
950,die
951,america
952,real
953,effort
954,travel
955,suspect
956,require
957,medicine
958,experience
959,behind
960,annual
961,leadership
962,chile
963,prepare
964,energy
965,clot
966,already
967,woman
968,measure
969,agreement
970,japanese
971,base
972,unit
973,tour
974,office
975,break
976,rush
977,photo
978,vaccinate
979,issue
980,respond
981,dos
982,sale
983,entry
984,wildlife
985,trace
986,start
987,chain
988,middle
989,roll
990,factory
991,forward
992,diplomat
993,street
994,journalist
995,russian
996,testing
997,clear
998,announce
999,level
1000,father
1001,output
1002,sector
1003,twice
1004,power
1005,manage
1006,encourage
1007,reveal
1008,agency
1009,saw
1010,credit
1011,stress
1012,cross
1013,york
1014,think
1015,raise
1016,reach
1017,fear
1018,jab
1019,billion
1020,resurgence
1021,singapore
1022,key
1023,two
1024,opinion
1025,understand
1026,notice
1027,benefit
1028,effective
1029,importance
1030,session
1031,train
1032,let
1033,cover
1034,fall
1035,suggest
1036,unprecedented
1037,eligible
1038,people
1039,open
1040,drop
1041,mild
1042,schedule
1043,scramble
1044,overseas
1045,meeting
1046,declare
1047,digital
1048,future
1049,period
1050,capital
1051,history
1052,question
1053,recover
1054,wall
1055,washington
1056,general
1057,lift
1058,ahead
1059,resume
1060,manufacturer
1061,product
1062,california
1063,express
1064,begin
1065,building
1066,live
1067,dream
1068,fund
1069,governor
1070,vaccine
1071,batch
1072,later
1073,short
1074,miss
1075,near
1076,drug
1077,mobile
1078,stay
1079,white
1080,month
1081,italy
1082,week
1083,rare
1084,method
1085,political
1086,reed
1087,direct
1088,play
1089,brief
1090,rapid
1091,cluster
1092,weekend
1093,essential
1094,french
1095,treat
1096,tourist
1097,candidate
1098,prove
1099,bank
1100,small
1101,virtual
1102,foreigner
1103,site
1104,main
1105,baby
1106,screen
1107,via
1108,fatality
1109,federal
1110,among
1111,loss
1112,transfer
1113,finally
1114,due
1115,turn
1116,almost
1117,along
1118,non
1119,designate
1120,bird
1121,passport
1122,share
1123,charter
1124,approach
1125,law
1126,study
1127,shipment
1128,passenger
1129,process
1130,morning
1131,korea
1132,want
1133,brazil
1134,instead
1135,originate
1136,reaction
1137,transmission
1138,journal
1139,see
1140,crisis
1141,threat
1142,popular
1143,celebrate
1144,adult
1145,industry
1146,feature
1147,view
1148,tibet
1149,toll
1150,use
1151,result
1152,african
1153,sign
1154,risk
1155,southeast
1156,officer
1157,nearly
1158,town
1159,korean
1160,evacuate
1161,letter
1162,serve
1163,carry
1164,summit
1165,wedding
1166,job
1167,chief
1168,continent
1169,round
1170,change
1171,misinformation
1172,cite
1173,sea
